seed,n,d,p,loss,solver,gamma,standardize,varsort_raw,varsort_fit,auroc_change_w,auroc_change_a,max_h,seconds
8,100,12,1,gaussian,lbfgs_smooth,0.05,True,0.782608695652174,0.5,0.85,0.7640845070422535,0.007460505884372637,0.26678483299474465
8,100,12,1,student_t,lbfgs_smooth,0.0,True,0.782608695652174,0.5,0.8339285714285715,0.8133802816901409,0.006410693145433299,0.28626929199526785
8,100,12,1,student_t,lbfgs_smooth,0.05,True,0.782608695652174,0.5,0.8321428571428572,0.795774647887324,0.006443868045458601,0.2958608750050189
8,100,12,1,gaussian,admm,0.0,True,0.782608695652174,0.5,0.8303571428571429,0.6690140845070423,0.004602276191116417,0.33086116699996637
8,100,12,1,gaussian,admm,0.05,True,0.782608695652174,0.5,0.8491071428571428,0.7112676056338029,0.004695401964253776,0.31937679200200364
8,100,12,1,student_t,admm,0.0,True,0.782608695652174,0.5,0.9857142857142858,0.5862676056338029,0.003983545094600416,0.2939868750036112
8,100,12,1,student_t,admm,0.05,True,0.782608695652174,0.5,0.9964285714285714,0.7288732394366197,0.0037814155325435195,0.29443945800449
9,100,12,1,gaussian,lbfgs_smooth,0.0,True,0.9444444444444444,0.5,0.6589285714285714,0.9330985915492958,0.0070413386690511,0.2637873329949798
9,100,12,1,gaussian,lbfgs_smooth,0.05,True,0.9444444444444444,0.5,0.6625,0.9366197183098591,0.0070372057157417345,0.2751676249972661
9,100,12,1,student_t,lbfgs_smooth,0.0,True,0.9444444444444444,0.5,0.6035714285714285,0.8908450704225352,0.006705569595386152,0.26976137500605546
9,100,12,1,student_t,lbfgs_smooth,0.05,True,0.9444444444444444,0.5,0.6035714285714285,0.897887323943662,0.006676615938525643,0.28302333299507154
9,100,12,1,gaussian,admm,0.0,True,0.9444444444444444,0.5,0.7857142857142857,0.8415492957746479,0.004757845544622441,0.3163268339994829
9,100,12,1,gaussian,admm,0.05,True,0.9444444444444444,0.5,0.8017857142857143,0.7183098591549296,0.004584583633823414,0.3214121669952874
9,100,12,1,student_t,admm,0.0,True,0.9444444444444444,0.5,0.9375,0.8626760563380281,0.004138922113558152,0.32890208300523227
